madde_no,madde_baslik,raw_text,normalized_text,tokens,token_count,unique_tokens,unique_token_count,roots,sentence_count
114,Yönetim organı her takvim yılının ilk üç ayı içinde vakfın bir önceki yıla ait malvarlığı durumunu ve çalışmalarını bir rapor h,Madde 114 - Yönetim organı her takvim yılının ilk üç ayı içinde vakfın bir önceki yıla ait malvarlığı durumunu ve çalışmalarını bir rapor hâlinde denetim makamına bildirir ve durumun uygun araçlarla yayımlanmasını sağlar. H. Faaliyetten geçici alıkoyma,madde 114 - yönetim organı her takvim yılının ilk üç ayı içinde vakfın bir önceki yıla ait malvarlıkı durumunu ve çalışmalarını bir rapor halinde denetim makamına bildirir ve durumun uygun araçlarla yayımlanmasını sağlar . h . faaliyetten geçici alıkoyma,"['madde', 'yönetim', 'organı', 'her', 'takvim', 'yılının', 'ilk', 'üç', 'ayı', 'içinde', 'vakfın', 'bir', 'önceki', 'yıla', 'ait', 'malvarlıkı', 'durumunu', 've', 'çalışmalarını', 'bir', 'rapor', 'halinde', 'denetim', 'makamına', 'bildirir', 've', 'durumun', 'uygun', 'araçlarla', 'yayımlanmasını', 'sağlar', 'h', 'faaliyetten', 'geçici', 'alıkoyma']",35,"['bir', 'denetim', 'takvim', 'içinde', 'faaliyetten', 'yılının', 'makamına', 'araçlarla', 'yönetim', 'vakfın', 'bildirir', 'yayımlanmasını', 'durumun', 'yıla', 'organı', 'üç', 'rapor', 'ayı', 'h', 'çalışmalarını', 'ait', 'durumunu', 'ilk', 'geçici', 'her', 'önceki', 'halinde', 'alıkoyma', 'sağlar', 've', 'malvarlıkı', 'madde', 'uygun']",33,"['madde', 'yönet', 'organ', 'her', 'takvim', 'yıl', 'ilk', 'üç', 'ayı', 'içinde', 'vakf', 'bir', 'önce', 'yıl', 'ait', 'malvarlık', 'durum', 've', 'çalış', 'bir', 'rapor', 'hal', 'denet', 'makam', 'bildir', 've', 'durum', 'uygun', 'araç', 'yayımla', 'sağla', 'h', 'faaliyet', 'geçici', 'alıkoy']",2
115,İçişleri Bakanlığı,"Madde 115 - İçişleri Bakanlığı, Anayasada öngörülen hâllerde ve belirlenen usullere uygun olarak, denetim makamının da görüşünü almak suretiyle mahkemece bir karar verilinceye kadar vakfı geçici olarak faaliyetten alıkoyabilir ve derhâl mahkemeye başvurur. Hâkim başvuruyu gecikmeksizin karara bağlar. İ. Vakfın sona ermesi","madde 115 - içişleri bakanlığı , anayasada öngörülen hallerde ve belirlenen usullere uygun olarak , denetim makamının da görüşünü almak suretiyle mahkemece bir karar verilinceye kadar vakfı geçici olarak faaliyetten alıkoyabilir ve derhal mahkemeye başvurur . hakim başvuruyu gecikmeksizin karara bağlar . ı . vakfın sona ermesi","['madde', 'içişleri', 'bakanlığı', 'anayasada', 'öngörülen', 'hallerde', 've', 'belirlenen', 'usullere', 'uygun', 'olarak', 'denetim', 'makamının', 'da', 'görüşünü', 'almak', 'suretiyle', 'mahkemece', 'bir', 'karar', 'verilinceye', 'kadar', 'vakfı', 'geçici', 'olarak', 'faaliyetten', 'alıkoyabilir', 've', 'derhal', 'mahkemeye', 'başvurur', 'hakim', 'başvuruyu', 'gecikmeksizin', 'karara', 'bağlar', 'ı', 'vakfın', 'sona', 'ermesi']",40,"['belirlenen', 'denetim', 'bir', 'uygun', 'faaliyetten', 'hakim', 'karar', 'verilinceye', 'derhal', 'karara', 'suretiyle', 'vakfın', 'almak', 'ermesi', 'öngörülen', 'içişleri', 'anayasada', 'hallerde', 'bakanlığı', 'kadar', 'mahkemece', 'vakfı', 'alıkoyabilir', 'usullere', 'başvurur', 'gecikmeksizin', 'mahkemeye', 'sona', 'ı', 'bağlar', 'geçici', 'makamının', 'da', 've', 'görüşünü', 'başvuruyu', 'madde', 'olarak']",38,"['madde', 'iç', 'bakanlığ', 'anayasa', 'öngör', 'hal', 've', 'belirle', 'usul', 'uygun', 'ol', 'denet', 'makam', 'da', 'görüş', 'al', 'suret', 'mahkeme', 'bir', 'kar', 'ver', 'kadar', 'vakf', 'geçici', 'ol', 'faaliyet', 'alıkoy', 've', 'derhal', 'mahkeme', 'başvur', 'hakim', 'başvuru', 'gecik', 'karar', 'bağla', 'ı', 'vakf', 'son', 'er']",3
116,Amacın gerçekleşmesi olanaksız h,"Madde 116 - Amacın gerçekleşmesi olanaksız hâle geldiği ve değiştirilmesine de olanak bulunmadığı takdirde , vak ıf kendiliğinden sona erer ve mahkeme kararıyla sicilden silinir. Yasak amaç güttüğü veya yasak faaliyetlerde bulunduğu sonradan anlaşılan veya amacı sonradan yasaklanan vakfın amacının değiştirilmesine olanak bulunmazsa; vakıf, denetim makamının ya d a Cum huriyet savcısının başvurusu üzerine duruşma yapılarak dağıtılır. J. Diğer hükümler","madde 116 - amacın gerçekleşmesi olanaksız hale geldiği ve değiştirilmesine de olanak bulunmadığı takdirde , vakıf kendiliğinden sona erer ve mahkeme kararıyla sicilden silinir . yasak amaç güttüğü veya yasak faaliyetlerde bulunduğu sonradan anlaşılan veya amacı sonradan yasaklanan vakfın amacının değiştirilmesine olanak bulunmazsa ; vakıf , denetim makamının yad a cumhuriyet savcısının başvurusu üzerine duruşma yapılarak dağıtılır . j . diğer hükümler","['madde', 'amacın', 'gerçekleşmesi', 'olanaksız', 'hale', 'geldiği', 've', 'değiştirilmesine', 'de', 'olanak', 'bulunmadığı', 'takdirde', 'vakıf', 'kendiliğinden', 'sona', 'erer', 've', 'mahkeme', 'kararıyla', 'sicilden', 'silinir', 'yasak', 'amaç', 'güttüğü', 'veya', 'yasak', 'faaliyetlerde', 'bulunduğu', 'sonradan', 'anlaşılan', 'veya', 'amacı', 'sonradan', 'yasaklanan', 'vakfın', 'amacının', 'değiştirilmesine', 'olanak', 'bulunmazsa', 'vakıf', 'denetim', 'makamının', 'yad', 'a', 'cumhuriyet', 'savcısının', 'başvurusu', 'üzerine', 'duruşma', 'yapılarak', 'dağıtılır', 'j', 'diğer', 'hükümler']",54,"['duruşma', 'silinir', 'bulunduğu', 'denetim', 'hale', 'amacın', 'de', 'hükümler', 'a', 'kararıyla', 'amacı', 'amacının', 'geldiği', 'yasak', 'vakıf', 'takdirde', 'yasaklanan', 'vakfın', 'yad', 'sonradan', 'gerçekleşmesi', 'değiştirilmesine', 'kendiliğinden', 'üzerine', 'j', 'faaliyetlerde', 'olanaksız', 'başvurusu', 'bulunmazsa', 'cumhuriyet', 'anlaşılan', 'güttüğü', 'mahkeme', 'sicilden', 'sona', 'bulunmadığı', 'amaç', 'yapılarak', 'diğer', 'olanak', 'dağıtılır', 'veya', 'makamının', 've', 'savcısının', 'erer', 'madde']",47,"['madde', 'amac', 'gerçek', 'olanak', 'hal', 'gel', 've', 'değiş', 'de', 'olanak', 'bulun', 'takdirde', 'vakıf', 'kendiliğinden', 'son', 'er', 've', 'mahke', 'karar', 'sicil', 'silin', 'yasak', 'amaç', 'güt', 'veya', 'yasak', 'faaliyet', 'bulun', 'sonradan', 'anlaşılan', 'veya', 'amac', 'sonradan', 'yasak', 'vakf', 'amac', 'değiş', 'olanak', 'bulun', 'vakıf', 'denet', 'makam', 'yad', 'a', 'cumhuriyet', 'savcı', 'başvuru', 'üzerine', 'duruşma', 'yap', 'dağıt', 'j', 'diğer', 'hüküm']",3
117,Vakıfların malları üzerinde zilyetlik yoluyla kazanma hükümleri uygulanmaz,Madde 117 - Vakıfların malları üzerinde zilyetlik yoluyla kazanma hükümleri uygulanmaz. Derneklerin uluslararası faaliyette bulunmalarına ve üst kuruluş kurmalarına il işkin hükü mler kıyas yoluyla vakıflar hakkında da uygulanır. Kamuya yararlı veya özel kanunlarla kurulan vakıflar hakkındaki özel hükümler saklıdır. İKİNCİ KİTAP AİLE HUKUKU BİRİNCİ KISIM EVLİLİK HUKUKU BİRİNCİ BÖLÜM EVLENME BİRİNCİ AYIRIM NİŞANLILIK A. Ni şanlanma,madde 117 - vakıfların malları üzerinde zilyetlik yoluyla kazanma hükümleri uygulanmaz . derneklerin uluslararası faaliyette bulunmalarına ve üst kuruluş kurmalarına ilişkin hükümler kıyas yoluyla vakıflar hakkında da uygulanır . kamuya yararlı veya özel kanunlarla kurulan vakıflar hakkındaki özel hükümler saklıdır . ikinci kitap aile hukuku birinci kısım evlilik hukuku birinci bölüm evlenme birinci ayırım nişanlılık a . ni sanlanma,"['madde', 'vakıfların', 'malları', 'üzerinde', 'zilyetlik', 'yoluyla', 'kazanma', 'hükümleri', 'uygulanmaz', 'derneklerin', 'uluslararası', 'faaliyette', 'bulunmalarına', 've', 'üst', 'kuruluş', 'kurmalarına', 'ilişkin', 'hükümler', 'kıyas', 'yoluyla', 'vakıflar', 'hakkında', 'da', 'uygulanır', 'kamuya', 'yararlı', 'veya', 'özel', 'kanunlarla', 'kurulan', 'vakıflar', 'hakkındaki', 'özel', 'hükümler', 'saklıdır', 'ikinci', 'kitap', 'aile', 'hukuku', 'birinci', 'kısım', 'evlilik', 'hukuku', 'birinci', 'bölüm', 'evlenme', 'birinci', 'ayırım', 'nişanlılık', 'a', 'ni', 'sanlanma']",53,"['kamuya', 'özel', 'yoluyla', 'ilişkin', 'hükümler', 'vakıflar', 'zilyetlik', 'uluslararası', 'a', 'bulunmalarına', 'üzerinde', 'ayırım', 'kitap', 'uygulanmaz', 'derneklerin', 'hükümleri', 'bölüm', 'sanlanma', 'kısım', 'evlenme', 'hakkındaki', 'saklıdır', 'ikinci', 'uygulanır', 'hukuku', 'faaliyette', 'üst', 'yararlı', 'kazanma', 'kurulan', 'birinci', 'ni', 'nişanlılık', 'aile', 'vakıfların', 'kurmalarına', 'hakkında', 'kuruluş', 'da', 'veya', 've', 'evlilik', 'kıyas', 'kanunlarla', 'madde', 'malları']",46,"['madde', 'vakıf', 'mal', 'üzerinde', 'zilyet', 'yoluyla', 'kazan', 'hüküm', 'uygula', 'dernek', 'uluslararası', 'faaliyet', 'bulun', 've', 'üst', 'kuruluş', 'kur', 'ilişkin', 'hüküm', 'kıyas', 'yoluyla', 'vakıf', 'hakkında', 'da', 'uygula', 'kamu', 'yarar', 'veya', 'özel', 'kanun', 'kur', 'vakıf', 'hakk', 'özel', 'hüküm', 'saklı', 'ikinci', 'kitap', 'aile', 'hukuk', 'birinci', 'kısım', 'evlilik', 'hukuk', 'birinci', 'bölü', 'evlen', 'birinci', 'ayırım', 'nişan', 'a', 'ni', 'san']",4
118,Nişanlanma,"Madde 118 - Nişanlanma, evlenme vaadiyle olur. Nişanlanma, yasal temsilcilerinin rızası olmadıkça küçüğü veya kısıtlıyı bağlamaz. B. Nişanlılığın hükümleri I. Dava hakkının bulunmaması","madde 118 - nişanlanma , evlenme vaadiyle olur . nişanlanma , yasal temsilcilerinin rızası olmadıkça küçüğü veya kısıtlıyı bağlamaz . b . nisanlılığın hükümleri ı . dava hakkının bulunmaması","['madde', 'nişanlanma', 'evlenme', 'vaadiyle', 'olur', 'nişanlanma', 'yasal', 'temsilcilerinin', 'rızası', 'olmadıkça', 'küçüğü', 'veya', 'kısıtlıyı', 'bağlamaz', 'b', 'nisanlılığın', 'hükümleri', 'ı', 'dava', 'hakkının', 'bulunmaması']",21,"['olmadıkça', 'bağlamaz', 'vaadiyle', 'hükümleri', 'yasal', 'evlenme', 'b', 'hakkının', 'bulunmaması', 'rızası', 'ı', 'veya', 'nisanlılığın', 'dava', 'nişanlanma', 'küçüğü', 'kısıtlıyı', 'temsilcilerinin', 'olur', 'madde']",20,"['madde', 'nişanla', 'evlen', 'vaad', 'olur', 'nişanla', 'yasal', 'temsilci', 'rıza', 'olmadık', 'küçüğ', 'veya', 'kısıt', 'bağla', 'b', 'nisan', 'hüküm', 'ı', 'dav', 'hakk', 'bulun']",3
119,Nişanlılık,"Madde 119 - Nişanlılık, evlenmeye zorlamak için dava hakkı verm ez. Evlenmeden kaçınma hâli için öngörülen cayma tazminatı veya ceza şartı dava edilemez; ancak yapılan ödemeler de geri istenemez. II. Nişanın bozulmasının sonuçları 1. Maddî tazminat","madde 119 - nişanlılık , evlenmeye zorlamak için dava hakkı verme ez . evlenmeden kaçınma hali için öngörülen cayma tazminatı veya ceza şartı dava edilemez ; ancak yapılan ödemeler de geri istenemez . ıı . nişanın bozulmasının sonuçları 1. maddi tazminat","['madde', 'nişanlılık', 'evlenmeye', 'zorlamak', 'için', 'dava', 'hakkı', 'verme', 'ez', 'evlenmeden', 'kaçınma', 'hali', 'için', 'öngörülen', 'cayma', 'tazminatı', 'veya', 'ceza', 'şartı', 'dava', 'edilemez', 'ancak', 'yapılan', 'ödemeler', 'de', 'geri', 'istenemez', 'ıı', 'nişanın', 'bozulmasının', 'sonuçları', 'maddi', 'tazminat']",33,"['için', 'tazminatı', 'sonuçları', 'de', 'ıı', 'ez', 'maddi', 'şartı', 'tazminat', 'öngörülen', 'hakkı', 'verme', 'ödemeler', 'ceza', 'nişanlılık', 'geri', 'istenemez', 'evlenmeye', 'nişanın', 'evlenmeden', 'kaçınma', 'hali', 'bozulmasının', 'veya', 'edilemez', 'dava', 'ancak', 'cayma', 'yapılan', 'madde', 'zorlamak']",31,"['madde', 'nişan', 'evlen', 'zorla', 'için', 'dav', 'hakk', 'ver', 'ez', 'evlen', 'kaçın', 'hal', 'için', 'öngör', 'cay', 'tazminat', 'veya', 'ceza', 'şart', 'dav', 'ed', 'ancak', 'yapılan', 'öde', 'de', 'geri', 'iste', 'nişan', 'bozul', 'sonuç', 'maddi', 'tazminat']",3
120,Nişanlılardan biri haklı bir sebep olmaksızın nişanı bozdu ğu veya nişan taraflardan birine yükletilebilen bir sebeple bozulduğu takdirde,"Madde 120 - Nişanlılardan biri haklı bir sebep olmaksızın nişanı bozdu ğu veya nişan taraflardan birine yükletilebilen bir sebeple bozulduğu takdirde; kusuru olan taraf, diğerine dürüstlük kuralları çerçevesinde ve evlenme amacıyla yaptığı harcamalar ve katlandığı maddî fedakârlıklar karşılığında uygun bir tazminat verme kle y ükümlüdür. Aynı kural nişan giderleri hakkında da uygulanır. Tazminat istemeye hakkı olan tarafın ana ve babası veya onlar gibi davranan kimseler de, aynı koşullar altında yaptıkları harcamalar için uygun bir tazminat isteyebilirler. 2. Manevî tazmi nat","madde 120 - nisanlılardan biri haklı bir sebep olmaksızın nişanı bozduğu veya nişan taraflardan birine yükletinebilen bir sebeple bozulduğu takdirde ; kusuru olan taraf , diğerine dürüstlük kuralları çerçevesinde ve evlenme amacıyla yaptığı harcamalar ve katlandığı maddi fedakarlıklar karşılığında uygun bir tazminat vermekle yükümlüdür yükümlüdür . aynı kural nişan giderleri hakkında da uygulanır . tazminat istemeye hakkı olan tarafın ana ve babası veya onlar gibi davranan kimseler de , aynı koşullar altında yaptıkları harcamalar için uygun bir tazminat isteyebilirler . 2. manevi tazminat","['madde', 'nisanlılardan', 'biri', 'haklı', 'bir', 'sebep', 'olmaksızın', 'nişanı', 'bozduğu', 'veya', 'nişan', 'taraflardan', 'birine', 'yükletinebilen', 'bir', 'sebeple', 'bozulduğu', 'takdirde', 'kusuru', 'olan', 'taraf', 'diğerine', 'dürüstlük', 'kuralları', 'çerçevesinde', 've', 'evlenme', 'amacıyla', 'yaptığı', 'harcamalar', 've', 'katlandığı', 'maddi', 'fedakarlıklar', 'karşılığında', 'uygun', 'bir', 'tazminat', 'vermekle', 'yükümlüdür', 'yükümlüdür', 'aynı', 'kural', 'nişan', 'giderleri', 'hakkında', 'da', 'uygulanır', 'tazminat', 'istemeye', 'hakkı', 'olan', 'tarafın', 'ana', 've', 'babası', 'veya', 'onlar', 'gibi', 'davranan', 'kimseler', 'de', 'aynı', 'koşullar', 'altında', 'yaptıkları', 'harcamalar', 'için', 'uygun', 'bir', 'tazminat', 'isteyebilirler', 'manevi', 'tazminat']",74,"['kural', 'için', 'bir', 'istemeye', 'olmaksızın', 'de', 'karşılığında', 'yaptıkları', 'maddi', 'yükümlüdür', 'takdirde', 'sebep', 'babası', 'yaptığı', 'aynı', 'tazminat', 'yükletinebilen', 'evlenme', 'sebeple', 'kimseler', 'uygulanır', 'onlar', 'olan', 'isteyebilirler', 'nişanı', 'gibi', 'hakkı', 'birine', 'taraf', 'taraflardan', 'nisanlılardan', 'haklı', 'harcamalar', 'vermekle', 'giderleri', 'amacıyla', 'bozduğu', 'nişan', 'manevi', 'davranan', 'dürüstlük', 'altında', 'bozulduğu', 'kusuru', 'hakkında', 'diğerine', 'tarafın', 'veya', 'da', 've', 'fedakarlıklar', 'koşullar', 'ana', 'katlandığı', 'çerçevesinde', 'biri', 'madde', 'uygun', 'kuralları']",59,"['madde', 'nisan', 'biri', 'hak', 'bir', 'sebep', 'ol', 'nişan', 'boz', 'veya', 'nişan', 'taraf', 'biri', 'yükle', 'bir', 'sebep', 'bozul', 'takdirde', 'kusur', 'ol', 'taraf', 'diğer', 'dürüst', 'kural', 'çerçeve', 've', 'evlen', 'amac', 'yap', 'harca', 've', 'katlan', 'maddi', 'fedakar', 'karşılığ', 'uygun', 'bir', 'tazminat', 'ver', 'yüküm', 'yüküm', 'aynı', 'kural', 'nişan', 'gider', 'hakkında', 'da', 'uygula', 'tazminat', 'iste', 'hakk', 'ol', 'taraf', 'ana', 've', 'baba', 'veya', 'o', 'gibi', 'davran', 'kimse', 'de', 'aynı', 'koşulla', 'alt', 'yap', 'harca', 'için', 'uygun', 'bir', 'tazminat', 'iste', 'manevi', 'tazminat']",4
121,Nişanın bozulması yüzünden kişilik hakkı saldırıya uğrayan taraf,"Madde 121 - Nişanın bozulması yüzünden kişilik hakkı saldırıya uğrayan taraf, kusurlu olan diğer taraftan manevî tazminat olarak uygun miktarda bir para ödenmesini isteyebilir. III. Hediyelerin geri verilmesi","madde 121 - nişanın bozulması yüzünden kişilik hakkı saldırıya uğrayan taraf , kusurlu olan diğer taraftan manevi tazminat olarak uygun miktarda bir para ödenmesini isteyebilir . ııı . hediyelerin geri verilmesi","['madde', 'nişanın', 'bozulması', 'yüzünden', 'kişilik', 'hakkı', 'saldırıya', 'uğrayan', 'taraf', 'kusurlu', 'olan', 'diğer', 'taraftan', 'manevi', 'tazminat', 'olarak', 'uygun', 'miktarda', 'bir', 'para', 'ödenmesini', 'isteyebilir', 'ııı', 'hediyelerin', 'geri', 'verilmesi']",26,"['bozulması', 'bir', 'isteyebilir', 'taraftan', 'miktarda', 'saldırıya', 'olarak', 'tazminat', 'hediyelerin', 'para', 'olan', 'hakkı', 'yüzünden', 'kişilik', 'taraf', 'kusurlu', 'manevi', 'diğer', 'geri', 'nişanın', 'ödenmesini', 'verilmesi', 'uğrayan', 'ııı', 'madde', 'uygun']",26,"['madde', 'nişan', 'bozul', 'yüzünden', 'kişilik', 'hakk', 'saldırı', 'uğra', 'taraf', 'kusur', 'ol', 'diğer', 'taraf', 'manevi', 'tazminat', 'ol', 'uygun', 'miktar', 'bir', 'par', 'öde', 'iste', 'hediye', 'geri', 'ver']",2
122,Nişanlılık evlenme dışındaki bir sebeple sona ererse,"Madde 122 - Nişanlılık evlenme dışındaki bir sebeple sona ererse, nişanlıların birbirlerine veya ana ve babanın ya da onlar gibi davrananların, diğer nişanlıya vermiş oldukları alışılmışın dışındaki hediyeler, verenler tarafından geri istenebilir. Hediye aynen veya mislen geri verilemiyorsa, sebepsi z zen ginleşme hükümleri uygulanır. IV. Zamanaşımı","madde 122 - nişanlılık evlenme dışındaki bir sebeple sona ererse , nisanlıların birbirlerine veya ana ve babanın ya da onlar gibi davrananların , diğer nisanlıya vermiş oldukları alışılmışın dışındaki hediyeler , verenler tarafından geri istenebilir . hediye aynen veya mislen geri verilemiyorsa , sebepsiz zenginleşme hükümleri uygulanır . iv . zamanaşımı","['madde', 'nişanlılık', 'evlenme', 'dışındaki', 'bir', 'sebeple', 'sona', 'ererse', 'nisanlıların', 'birbirlerine', 'veya', 'ana', 've', 'babanın', 'ya', 'da', 'onlar', 'gibi', 'davrananların', 'diğer', 'nisanlıya', 'vermiş', 'oldukları', 'alışılmışın', 'dışındaki', 'hediyeler', 'verenler', 'tarafından', 'geri', 'istenebilir', 'hediye', 'aynen', 'veya', 'mislen', 'geri', 'verilemiyorsa', 'sebepsiz', 'zenginleşme', 'hükümleri', 'uygulanır', 'iv', 'zamanaşımı']",42,"['mislen', 'bir', 'dışındaki', 'verenler', 'oldukları', 'iv', 'verilemiyorsa', 'aynen', 'nisanlıya', 'hediyeler', 'hükümleri', 'evlenme', 'alışılmışın', 'sebeple', 'uygulanır', 'onlar', 'zenginleşme', 'nisanlıların', 'vermiş', 'gibi', 'ya', 'babanın', 'tarafından', 'istenebilir', 'nişanlılık', 'sona', 'hediye', 'ererse', 'diğer', 'geri', 'davrananların', 'sebepsiz', 'veya', 'birbirlerine', 've', 'da', 'zamanaşımı', 'ana', 'madde']",39,"['madde', 'nişan', 'evlen', 'dış', 'bir', 'sebep', 'son', 'er', 'nisan', 'birbir', 'veya', 'ana', 've', 'baba', 'ya', 'da', 'o', 'gibi', 'davran', 'diğer', 'nisan', 'ver', 'ol', 'alış', 'dış', 'hediye', 'ver', 'tarafından', 'geri', 'iste', 'hediye', 'aynen', 'veya', 'mis', 'geri', 'ver', 'sebep', 'zengin', 'hüküm', 'uygula', 'iv', 'zamanaşım']",4
123,Nişanlılığın sona ermesinden doğan dava hakları,"Madde 123 - Nişanlılığın sona ermesinden doğan dava hakları, sona ermenin üzerinden bir yıl geçmekle zamanaşımına uğrar. İKİNCİ AYIRIM EVLENME EHLİYETİ VE ENGELLERİ A. Ehliyetin koşulları I. Yaş","madde 123 - nisanlılığın sona ermesinden doğan dava hakları , sona ermenin üzerinden bir yıl geçmekle zamanaşımına uğrar . ikinci ayırım evlenme ehliyeti ve engelleri a . ehliyetin koşulları ı . yaş","['madde', 'nisanlılığın', 'sona', 'ermesinden', 'doğan', 'dava', 'hakları', 'sona', 'ermenin', 'üzerinden', 'bir', 'yıl', 'geçmekle', 'zamanaşımına', 'uğrar', 'ikinci', 'ayırım', 'evlenme', 'ehliyeti', 've', 'engelleri', 'a', 'ehliyetin', 'koşulları', 'ı', 'yaş']",26,"['bir', 'a', 'yaş', 'ayırım', 'zamanaşımına', 'uğrar', 'evlenme', 'ikinci', 'yıl', 'üzerinden', 'ermenin', 'ehliyeti', 'ehliyetin', 'hakları', 'ermesinden', 'koşulları', 'sona', 'geçmekle', 'ı', 'engelleri', 'doğan', 'nisanlılığın', 'dava', 've', 'madde']",25,"['madde', 'nisan', 'son', 'er', 'doğ', 'dav', 'hak', 'son', 'ermeni', 'üzer', 'bir', 'yıl', 'geç', 'zamanaşım', 'uğra', 'ikinci', 'ayırım', 'evlen', 'ehliyet', 've', 'engel', 'a', 'ehliyet', 'koşul', 'ı', 'yaş']",2
124,Erke k veya kadın onyedi yaşını doldurmadıkça evlenemez,"Madde 124 - Erke k veya kadın onyedi yaşını doldurmadıkça evlenemez. Ancak, hâkim olağanüstü durumlarda ve pek önemli bir sebeple onaltı yaşını doldurmuş olan erkek veya kadının evlenmesine izin verebilir. Olanak bulundukça karardan önce ana ve baba veya vasi dinlenir . II. Ayırt etme gücü","madde 124 - erkek veya kadın Öney'di yaşını doldurmadıkça evlenemez . ancak , hakim olağanüstü durumlarda ve pek önemli bir sebeple on altı yaşını doldurmuş olan erkek veya kadının evlenmesine izin verebilir . olanak bulundukça karardan önce ana ve baba veya vasi dinlenir . ıı . ayırt etme gücü","['madde', 'erkek', 'veya', 'kadın', 'yaşını', 'doldurmadıkça', 'evlenemez', 'ancak', 'hakim', 'olağanüstü', 'durumlarda', 've', 'pek', 'önemli', 'bir', 'sebeple', 'on', 'altı', 'yaşını', 'doldurmuş', 'olan', 'erkek', 'veya', 'kadının', 'evlenmesine', 'izin', 'verebilir', 'olanak', 'bulundukça', 'karardan', 'önce', 'ana', 've', 'baba', 'veya', 'vasi', 'dinlenir', 'ıı', 'ayırt', 'etme', 'gücü']",41,"['etme', 'doldurmuş', 'bir', 'gücü', 'hakim', 'evlenemez', 'pek', 'kadının', 'ıı', 'doldurmadıkça', 'altı', 'erkek', 'verebilir', 'izin', 'vasi', 'sebeple', 'yaşını', 'önemli', 'baba', 'olan', 'durumlarda', 'bulundukça', 'evlenmesine', 'kadın', 'dinlenir', 'olanak', 'karardan', 'veya', 've', 'ana', 'önce', 'ancak', 'on', 'ayırt', 'olağanüstü', 'madde']",36,"['madde', 'erkek', 'veya', 'kadın', 'yaş', 'doldur', 'evlen', 'ancak', 'hakim', 'olağanüstü', 'durum', 've', 'pek', 'önem', 'bir', 'sebep', 'on', 'altı', 'yaş', 'doldur', 'ol', 'erkek', 'veya', 'kadı', 'evlen', 'iz', 'ver', 'olanak', 'bulun', 'karar', 'önce', 'ana', 've', 'baba', 'veya', 'vasi', 'dinlen', 'ayırt', 'et', 'güc']",4
125,Ayırt etme gücüne sahip olmayanlar evlenemez,Madde 125 - Ayırt etme gücüne sahip olmayanlar evlenemez. III. Yasal temsilcinin izni 1. Küçükler hakkında,madde 125 - ayırt etme gücüne sahip olmayanlar evlenemez . ııı . yasal temsilcinin izni 1. küçükler hakkında,"['madde', 'ayırt', 'etme', 'gücüne', 'sahip', 'olmayanlar', 'evlenemez', 'ııı', 'yasal', 'temsilcinin', 'izni', 'küçükler', 'hakkında']",13,"['etme', 'ııı', 'küçükler', 'yasal', 'izni', 'hakkında', 'olmayanlar', 'temsilcinin', 'evlenemez', 'gücüne', 'ayırt', 'madde', 'sahip']",13,"['madde', 'ayırt', 'et', 'güc', 'sahip', 'ol', 'evlen', 'yasal', 'temsilci', 'izn', 'küçükle', 'hakkında']",2
126,Küçük,"Madde 126 - Küçük, yasal temsilcisinin izni olmadıkça evlenemez. 2. Kısıtlılar hakkında","madde 126 - küçük , yasal temsilcisinin izni olmadıkça evlenemez . 2. kısıtlılar hakkında","['madde', 'küçük', 'yasal', 'temsilcisinin', 'izni', 'olmadıkça', 'evlenemez', 'kısıtlılar', 'hakkında']",9,"['olmadıkça', 'kısıtlılar', 'yasal', 'madde', 'hakkında', 'küçük', 'evlenemez', 'izni', 'temsilcisinin']",9,"['madde', 'küçük', 'yasal', 'temsilci', 'izn', 'olmadık', 'evlen', 'kısıt', 'hakkında']",2
127,Kısıtlı,"Madde 127 - Kısıtlı, yasal temsilcisini n izn i olmadıkça evlenemez. 3. Mahkemeye başvurma","madde 127 - kısıtlı , yasal temsilcisinin izni olmadıkça evlenemez . 3. mahkemeye başvurma","['madde', 'kısıtlı', 'yasal', 'temsilcisinin', 'izni', 'olmadıkça', 'evlenemez', 'mahkemeye', 'başvurma']",9,"['olmadıkça', 'yasal', 'madde', 'evlenemez', 'başvurma', 'kısıtlı', 'izni', 'mahkemeye', 'temsilcisinin']",9,"['madde', 'kısıt', 'yasal', 'temsilci', 'izn', 'olmadık', 'evlen', 'mahkeme', 'başvur']",2
